Location,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2000 Flags,2005 Flags,2006 Flags,2007 Flags,2008 Flags,,,,,
Australia,27.47,31.69,33.02,33.73,36.14,36.88,37.6,38.34,41.28,39.53,,,,,,,,,,
Austria,13.9,17.75,17.6,17.58,18.06,19.04,19.28,19.34,19.98,20.7,,,,,,,,,,
Belgium,27.08,31.04,31.75,32.09,32.31,33.39,34.98,34.61,35.31,35.53,,,,,,,,,,
Brazil,,,,9.62,10.79,10.86,,11.61,12.99,13.74,..,..,..,,,,,,,
Canada,40.09,45.94,46.91,48.22,48.76,49.5,50.59,51.32,52.58,53.21,,,,,,,,,,
Chile,,,,23.72,24.18,24.37,26.81,17.81,,,..,..,..,,,,,,,
China (People's Republic of),,,,,,,3.57,,,,..,..,..,..,..,2009 Flags,2010 Flags,2011 Flags,2012 Flags,2013 Flags
Colombia,,,,,,,,,,21.27,..,..,..,..,..,,,,,
Czech Republic,10.96,13.05,13.52,13.73,14.49,15.54,16.76,18.24,19.27,20.45,,,,,,,,,,
Denmark,25.77,33.54,34.71,30.9,31.41,32.44,33.26,33.7,34.78,35.42,,,,,,,,,,
Estonia,28.9,33.3,33.31,33.29,34.3,35.96,35.32,36.75,37.31,38.39,,,,,,,..,,,
Finland,32.61,34.62,35.14,36.35,36.58,37.26,38.14,39.31,39.66,40.54,,,,,,,,,,
France,21.58,25.42,26.18,26.64,27.23,28.58,29,29.76,30.85,32.1,,,,,,,,,..,..
Germany,23.49,24.55,23.94,24.29,25.4,26.38,26.6,27.56,28.12,28.47,,,,,,..,,..,..,..
Greece,17.67,21.34,22.31,22.76,23.41,23.52,24.64,26.05,26.68,27.42,,,,,,..,..,..,..,
Hungary,14.04,17.08,17.69,18.04,19.19,19.86,20.12,21.12,22.04,22.5,,,,,,,,,,
Iceland,23.78,30.54,29.5,30.35,31.29,32.75,32.54,33.86,35.2,36.05,,,,,,,,,,
Indonesia,,,,,,,,7.88,,,..,..,..,..,..,,,,,
Ireland,21.61,29.07,31.09,32.39,33.9,35.82,37.58,38.16,39.69,41.47,,,,,,,,,,
Israel,,43.04,42.9,43.58,43.98,44.88,45.56,46.39,46.44,47.42,..,,,,,,,,,
Italy,9.62,12.22,12.87,13.57,14.35,14.51,14.8,14.93,15.7,16.28,,,,,,,,,,
Japan,33.61,39.93,40.46,41.02,42.84,43.76,44.8,46.36,46.61,47.31,,,,,,,,,,
Korea,23.92,31.6,32.93,34.61,36.55,38.66,39.71,40.4,41.73,43.11,,,,,,,,,,
Latvia,18.04,20.51,21.09,22.57,25.19,26.09,26.88,27.69,29.22,31.01,,,,,,,,,,
Luxembourg,18.28,26.54,23.99,26.51,27.65,34.79,35.47,37.03,39.11,40.67,,,,,,..,..,,..,..
Mexico,14.63,15.03,15.35,15.94,16.01,16.98,16.98,17.34,18.1,18.73,,,,,,,,,,
Netherlands,24.1,30.11,30.18,30.8,32.16,32.78,31.93,32.08,32.94,33.87,,,,,,,,,,
New Zealand,28.85,38.99,37.86,40.71,40.1,40.06,40.66,39.33,40.58,34.57,,,,,,,,,,
Norway,28.4,32.69,32.92,34.19,36,36.69,37.28,38.05,38.56,39.77,,,,,,,,,,
OECD - Average,22,26.94,27.49,28.03,28.85,29.95,30.66,31.18,32.57,33.26,,,,,,,,,,
Poland,11.36,16.92,17.89,18.68,19.56,21.15,22.46,23.28,24.51,25.75,,,,,,,,,,
Portugal,8.84,12.84,13.48,13.69,14.3,14.66,15.44,17.25,18.53,19.3,,,,,,,,,,
Russia,,,,,,,,53.48,53.48,,..,..,..,..,..,,,,,
Saudi Arabia,,,,,,,,,,20.98,..,..,..,..,..,,,,,
Slovak Republic,10.37,14,14.56,14.43,14.76,15.76,17.32,18.61,18.97,19.87,,,,,,,,,,
Slovenia,15.72,20.17,21.38,22.22,22.63,23.31,23.71,25.09,26.43,27.88,,,,,,,,,,
South Africa,,,,,,,,,6.35,,..,..,..,..,..,,,,,
Spain,22.61,28.51,28.8,29.27,29.51,29.98,31.01,31.91,32.31,33.73,,,,,,,,,,
Sweden,30.12,29.64,30.52,31.32,32.02,33.06,33.86,35.17,35.69,37.03,,,,,,,,,,
Switzerland,24.17,28.76,29.85,31.32,33.65,35.02,35.25,35.2,36.58,38.91,,,,,,..,..,,,..
Turkey,8.34,10.23,10.91,11.29,12.04,12.71,13.11,14.03,15.29,15.9,,,,,,..,..,..,..,
United Kingdom,25.67,29.7,34.19,35.53,35.21,36.98,38.18,39.41,40.97,41.89,,,,,,,,,,
United States,36.49,39.03,39.48,40.27,41.1,41.21,41.66,42.44,43.05,43.91,,,,,,,,,,
,,,,,,,,,,,,,,,,..,..,..,,..
